pressure_ratio,TIT_K,feasible,fuel_kg_min,air_kg_s,hole_radius_scale,hole_area_mm2,nozzle_radius_mm
1.0,420.8887158361356,False,,,,,
1.0,427.67982867777425,False,,,,,
1.0,434.47094151941286,False,,,,,
1.0,441.2620543610515,False,,,,,
1.0,448.0531672026902,False,,,,,
1.0,454.8442800443288,False,,,,,
1.0,461.63539288596746,False,,,,,
1.0,468.4265057276061,False,,,,,
1.0,475.21761856924473,False,,,,,
1.0,482.0087314108834,False,,,,,
1.0,488.799844252522,False,,,,,
1.0,495.5909570941607,False,,,,,
1.0,502.38206993579934,False,,,,,
1.0,509.17318277743794,False,,,,,
1.0,515.9642956190767,False,,,,,
1.0,522.7554084607152,False,,,,,
1.0,529.5465213023539,False,,,,,
1.0,536.3376341439925,False,,,,,
1.0,543.1287469856312,False,,,,,
1.0,549.9198598272699,False,,,,,
1.0,556.7109726689084,False,,,,,
1.0,563.5020855105471,False,,,,,
1.0,570.2931983521858,False,,,,,
1.0,577.0843111938244,False,,,,,
1.0,583.8754240354631,False,,,,,
1.0,590.6665368771016,False,159.30663976671374,274.9950270434236,inf,inf,1137.5951556433513
1.0,597.4576497187403,False,40.49487753577986,68.54358758001196,inf,inf,569.6276681158145
1.0,604.248762560379,False,23.631564996085356,39.23701497442284,inf,inf,432.23901532311106
1.0,611.0398754020176,False,16.89517634415702,27.52693594526965,inf,inf,363.0860295409767
1.0,617.8309882436563,False,13.270765394025972,21.22423379443082,inf,inf,319.73326807165995
1.0,624.6221010852948,False,11.00702882124546,17.28585694680287,inf,inf,289.36458423119376
1.0,631.4132139269336,False,9.459180437314895,14.591429453961322,inf,inf,266.60243640541734
1.0,638.2043267685722,False,8.334253972124866,12.631894947777482,inf,inf,248.74374546464648
1.0,644.9954396102108,False,7.47994865325858,11.142616352323747,inf,inf,234.26205123107303
1.0,651.7865524518495,False,6.809252777413911,9.972402384352261,inf,inf,222.221797748526
1.0,658.5776652934882,False,6.268844684761439,9.0286013304186,inf,inf,212.01355356225187
1.0,665.3687781351268,False,5.824226269081966,8.251269148729117,inf,inf,203.22112600138166
1.0,672.1598909767654,False,5.452090280339881,7.599906952773845,inf,inf,195.5493606756275
1.0,678.951003818404,False,5.1361229763418255,7.046167730965245,inf,inf,188.78238213121656
1.0,685.7421166600427,False,4.864564106232234,6.569616592497266,inf,inf,182.75818689618495
1.0,692.5332295016814,False,4.628721836633139,6.155150314168908,inf,inf,177.35252435205612
1.0,699.32434234332,False,4.4220332975095475,5.791364951835771,inf,inf,172.46830312984497
1.0,706.1154551849586,False,4.239450369985988,5.469488589773574,inf,inf,168.0284160868458
1.0,712.9065680265974,False,4.077026516123933,5.182663419009343,inf,inf,163.97075253989533
1.0,719.6976808682359,False,3.9316318503170393,4.925450647308702,inf,inf,160.24465127777682
1.0,726.4887937098746,False,3.8007522981989514,4.693481518985367,inf,inf,156.80832714638296
1.0,733.2799065515132,False,3.6823452486565644,4.483206496705154,inf,inf,153.6269704878243
1.0,740.0710193931518,False,3.5747339902012025,4.29171183469988,inf,inf,150.67132101680693
1.0,746.8621322347906,False,3.4765292951573477,4.116583323829642,inf,inf,147.91658229034996
1.0,753.6532450764291,False,3.3865703412326194,3.955803637138199,inf,inf,145.34158467540973
1.0,760.4443579180678,False,3.3038796267232726,3.807673990650467,inf,inf,142.92813229940708
1.0,767.2354707597065,False,3.2276281591807887,3.6707536552644084,inf,inf,140.66048804857533
1.0,774.026583601345,False,3.157108286291229,3.543812747701485,inf,inf,138.52496341942606
1.0,780.8176964429838,False,3.091712280728078,3.425795019524271,inf,inf,136.50958890772097
1.0,787.6088092846223,False,3.0309153057546703,3.3157882581180793,inf,inf,134.60384689969936
1.0,794.399922126261,False,2.974261750551253,3.213000542887224,inf,inf,132.79845353380932
1.0,801.1910349678997,False,2.9213541823971045,3.1167410484846254,inf,inf,131.08517927150734
1.0,807.9821478095383,False,2.8718443491272407,3.026404410589508,inf,inf,129.45670031832145
1.0,814.773260651177,False,2.8254258012748976,2.9414579060443464,inf,inf,127.90647482096634
1.0,821.5643734928155,False,2.781827803647767,2.861430873508016,inf,inf,126.42863910512045
1.0,828.3554863344542,False,2.740810280867067,2.7859059307198115,inf,inf,125.0179202325642
1.0,835.1465991760929,False,2.702159597650521,2.7145116422138096,inf,inf,123.6695619311416
1.0,841.9377120177315,False,2.6656850173152122,2.6469163655075594,inf,inf,122.37926154805038
1.0,848.7288248593702,False,2.631215714642515,2.5828230605511586,inf,inf,121.14311614045536
1.0,855.5199377010088,False,2.5985982444419733,2.52196489099944,inf,inf,119.95757618004832
1.0,862.3110505426475,False,2.5676943867197317,2.4641014798741967,inf,inf,118.81940563369915
1.0,869.1021633842861,False,2.5383793046685836,2.409015708786783,inf,inf,117.7256474088039
1.0,875.8932762259248,False,2.510539963749689,2.356510970835676,inf,inf,116.67359333250593
1.0,882.6843890675634,False,2.4840737696869217,2.306408803888945,inf,inf,115.66075797889019
1.0,889.475501909202,False,2.45888739080722,2.2585468441882646,inf,inf,114.68485577520329
1.0,896.2666147508407,False,2.4348957362592536,2.2127770508097866,inf,inf,113.74378091295965
1.0,903.0577275924793,False,2.4120210665596855,2.168964160059618,inf,inf,112.83558966716325
1.0,909.848840434118,False,2.3901922168958754,2.126984335797464,inf,inf,111.95848479018429
1.0,916.6399532757566,False,2.369343916854409,2.086723987311854,inf,inf,111.11080169898804
1.0,923.4310661173952,False,2.349416192891914,2.048078730971042,inf,inf,110.29099621745635
1.0,930.222178959034,False,2.330353842040811,2.010952475653893,inf,inf,109.49763367134047
1.0,937.0132918006725,False,2.312105967135408,1.9752566150808246,inf,inf,108.72937916315878
1.0,943.8044046423112,False,2.2946255653289014,1.9409093127453858,inf,inf,107.98498887928113
1.0,950.5955174839498,False,2.2778691629068493,1.9078348672925287,inf,inf,107.26330230238547
1.0,957.3866303255885,False,2.2617964904316783,1.8759631479784546,inf,inf,106.56323522007487
1.0,964.1777431672272,False,2.2463701931161753,1.845229091346308,inf,inf,105.88377343537857
1.0,970.9688560088657,False,2.2315555720478693,1.8155722515105377,inf,inf,105.22396709748072
1.0,977.7599688505044,False,2.2173203524978393,1.7869363975048356,inf,inf,104.58292558179953
1.0,984.551081692143,False,2.203634476063008,1.7592691520453652,inf,inf,103.95981285768657
1.0,991.3421945337817,False,2.190469913830457,1.7325216668234937,inf,inf,103.35384328990486
1.0,998.1333073754204,False,2.177800498124181,1.7066483300893647,inf,inf,102.76427782675908
1.0,1004.924420217059,False,2.165601770713822,1.6816065028412415,inf,inf,102.19042053357913
1.0,1011.7155330586976,False,2.153850845636005,1.6573562804076942,inf,inf,101.63161543523213
1.0,1018.5066459003363,False,2.142526285013527,1.633860276616321,inf,inf,101.08724363569794
1.0,1025.297758741975,False,2.131607986457868,1.6110834280912432,inf,inf,100.55672068647891
1.0,1032.0888715836136,False,2.1210770808137602,1.5889928165226117,inf,inf,100.03949417887999
1.0,1038.8799844252521,False,2.110915839154721,1.5675575070118055,inf,inf,99.53504153804965
1.0,1045.6710972668907,False,2.101107588067267,1.5467484008207295,inf,inf,99.0428679991291
1.0,1052.4622101085295,False,2.091636632375013,1.5265381010499088,inf,inf,98.5625047480524
1.0,1059.2533229501682,False,2.082488184551322,1.50690078993997,inf,inf,98.09350721142822
1.0,1066.0444357918068,False,2.073648300154815,1.4878121166396976,inf,inf,97.63545348161058
1.0,1072.8355486334453,False,2.065103818696438,1.4692490944134173,inf,inf,97.18794286452929
1.0,1079.6266614750841,False,2.0568423094129957,1.4511900063746508,inf,inf,96.7505945391723
1.0,1086.4177743167227,False,2.0488520214779724,1.4336143189315909,inf,inf,96.32304631871528
1.0,1093.2088871583614,False,2.0411218382323346,1.4165026022186162,inf,inf,95.90495350435157
1.0,1100.0,False,2.0336412350615007,1.3998364568645274,inf,inf,95.4959878237478
1.019,420.8887158361356,False,,,,,
1.019,427.67982867777425,False,,,,,
1.019,434.47094151941286,False,,,,,
1.019,441.2620543610515,False,,,,,
1.019,448.0531672026902,False,,,,,
1.019,454.8442800443288,False,,,,,
1.019,461.63539288596746,False,,,,,
1.019,468.4265057276061,False,,,,,
1.019,475.21761856924473,False,,,,,
1.019,482.0087314108834,False,,,,,
1.019,488.799844252522,False,,,,,
1.019,495.5909570941607,False,,,,,
1.019,502.38206993579934,False,,,,,
1.019,509.17318277743794,False,,,,,
1.019,515.9642956190767,False,,,,,
1.019,522.7554084607152,False,,,,,
1.019,529.5465213023539,False,,,,,
1.019,536.3376341439925,False,,,,,
1.019,543.1287469856312,False,,,,,
1.019,549.9198598272699,False,,,,,
1.019,556.7109726689084,False,,,,,
1.019,563.5020855105471,False,,,,,
1.019,570.2931983521858,False,,,,,
1.019,577.0843111938244,False,159.62191024280975,288.4971047157584,inf,inf,1149.108854162591
1.019,583.8754240354631,False,33.35601573276209,59.0621511068593,inf,inf,521.1826127897041
1.019,590.6665368771016,False,19.0116874603978,32.99270296076024,inf,inf,390.46414159019173
1.019,597.4576497187403,False,13.478816969025466,22.934024547418574,inf,inf,326.318290998794
1.019,604.248762560379,False,10.546852039350945,17.601320793798877,inf,inf,286.5465742246128
1.019,611.0398754020176,False,8.731354928772964,14.297314775857975,inf,inf,258.85911493624104
1.019,617.8309882436563,False,7.496960785591359,12.049228797651738,inf,inf,238.18910050755682
1.019,624.6221010852948,False,6.603419263362469,10.420518740645216,inf,inf,222.0166038876731
1.019,631.4132139269336,False,5.926875249928843,9.186134789833517,inf,inf,208.92879294248635
1.019,638.2043267685722,False,5.396995823754371,8.21827887585981,inf,inf,198.06424824901214
1.019,644.9954396102108,False,4.970878082692639,7.438994270785369,inf,inf,188.86404043667977
1.019,651.7865524518495,False,4.620864921648082,6.798026421787596,inf,inf,180.94764400327566
1.019,658.5776652934882,False,4.328325490716981,6.261521821519314,inf,inf,174.04586925865502
1.019,665.3687781351268,False,4.080250696239319,5.805841911618164,inf,inf,167.96223292895027
1.019,672.1598909767654,False,3.867281534592621,5.413980494322211,inf,inf,162.54953549400756
1.019,678.951003818404,False,3.682512839650409,5.0733900983365725,inf,inf,157.69504311894178
1.019,685.7421166600427,False,3.5207385504524495,4.774610602668571,inf,inf,153.31077249555963
1.019,692.5332295016814,False,3.3779593976080062,4.51037468467024,inf,inf,149.3269243314858
1.019,699.32434234332,False,3.2510523897893604,4.275007264634605,inf,inf,145.68732673754866
1.019,706.1154551849586,False,3.1375432833862256,4.06401207448831,inf,inf,142.34619990636736
1.019,712.9065680265974,False,3.0354464473953704,3.8737806860530593,inf,inf,139.26581204767874
1.019,719.6976808682359,False,2.943149929412342,3.7013836713455794,inf,inf,136.41475032610603
1.019,726.4887937098746,False,2.859331506225486,3.544418063026804,inf,inf,133.76662484135122
1.019,733.2799065515132,False,2.7828963928664217,3.400894169061433,inf,inf,131.2990830972316
1.019,740.0710193931518,False,2.7129303598339374,3.2691503845985372,inf,inf,128.99305074974677
1.019,746.8621322347906,False,2.6486639879908336,3.1477882414231058,inf,inf,126.83213971706017
1.019,753.6532450764291,False,2.5894450918126624,3.035622299611535,inf,inf,124.80218174994951
1.019,760.4443579180678,False,2.5347172131805493,2.9316410696019455,inf,inf,122.89085721411324
1.019,767.2354707597065,False,2.484002681852771,2.8349762320999283,inf,inf,121.08739694791478
1.019,774.026583601345,False,2.4368891499723375,2.7448781704476017,inf,inf,119.38234079098352
1.019,780.8176964429838,False,2.393018796868417,2.660696355028032,inf,inf,117.76734048522381
1.019,787.6088092846223,False,2.352079606127646,2.581863493072815,inf,inf,116.2349976290002
1.019,794.399922126261,False,2.313798265229021,2.5078826267392405,inf,inf,114.77872955224609
1.019,801.1910349678997,False,2.277934346214208,2.4383165588879927,inf,inf,113.39265760328853
1.019,807.9821478095383,False,2.244275505623524,2.372779130916021,inf,inf,112.07151355507271
1.019,814.773260651177,False,2.2126335013276686,2.3109279849294726,inf,inf,110.81056075955945
1.019,821.5643734928155,False,2.182840868535414,2.252458523674926,inf,inf,109.60552738229931
1.019,828.3554863344542,False,2.154748131128001,2.1970988431882024,inf,inf,108.4525495908793
1.019,835.1465991760929,False,2.128221450365056,2.1446054601744993,inf,inf,107.3481229910744
1.019,841.9377120177315,False,2.1031406329752316,2.094759692411569,inf,inf,106.28906093332834
1.019,848.7288248593702,False,2.0793974361361705,2.0473645786219294,inf,inf,105.27245857064156
1.019,855.5199377010088,False,2.0568941189724073,2.0022422462849483,inf,inf,104.29566175411802
1.019,862.3110505426475,False,2.0355421997324235,1.9592316531841412,inf,inf,103.3562400157424
