altitude_m,mach,TIT_command_K,converged,thrust_lbf,fuel_kg_min,rpm,compressor_PR,burner_pressure_ratio,within_study_limits,max_scaled_residual,reason
0,0,850,False,,,,,,,0.0019050109179681999,No nozzle pressure head
0,0,900,False,,,,,,,0.0019037318519710925,No nozzle pressure head
0,0,950,False,,,,,,,0.007817651148136704,No nozzle pressure head
0,0,1000,True,11.418640517188711,0.20413114722410597,71632.25689477472,1.797029566705711,0.9500000000000095,True,1.71166564951676e-14,
0,0,1050,True,18.028613018671702,0.2655718147929295,84473.6901938431,2.192134573370461,0.950000000000001,True,4.8432983008834366e-15,
0,0,1100,True,22.919489929602662,0.31104256815201714,91715.47710060766,2.472418190295285,0.95,True,7.043494138550445e-16,
0,0.25,850,False,,,,,,,0.007327428358410954,No residual closure found within numerical bounds
0,0.25,900,False,,,,,,,0.0011031446038766882,No residual closure found within numerical bounds
0,0.25,950,True,9.535216281985011,0.20882640131667946,73510.21941782894,1.828676975988964,0.95,True,5.869578448792038e-16,
0,0.25,1000,True,13.77952332625941,0.25396831586350627,82588.27515378647,2.1030031876526234,0.95,True,1.408698827710089e-15,
0,0.25,1050,True,17.75749046403385,0.29511282171648195,89279.1415210024,2.345403144776108,0.9500000000000011,True,2.641799073209147e-15,
0,0.25,1100,True,21.615511840381767,0.3347693428397505,94642.35185565379,2.5681103335325597,0.9500000000000574,True,1.393549011117825e-13,
0,0.5,850,True,8.27541147330131,0.21123797135672218,75720.06374371714,1.8378317248601945,0.9424049514834472,True,5.047837465961152e-15,
0,0.5,900,True,11.021561683617087,0.24364720620837216,81427.5981193396,2.004352453904253,0.942827934287089,True,4.788260820191579e-13,
0,0.5,950,True,14.014410956327717,0.27761132910640307,86586.30762015798,2.174707353458576,0.9437190720183941,True,4.226096483130267e-15,
0,0.5,1000,True,17.179662593749317,0.3127316813783641,91176.45934262392,2.3438559171937112,0.9449141826223951,True,4.883489269394975e-14,
0,0.5,1050,True,20.45337320072167,0.3486985154232138,95229.0389461612,2.508317945126407,0.9462823225593149,True,6.3391447246954e-15,
0,0.5,1100,True,23.78399335386449,0.3852713457872489,98797.9715662166,2.6659730386750535,0.9477336221359135,True,1.878265103613452e-15,
1524,0,850,False,,,,,,,0.0018374483079136121,No nozzle pressure head
1524,0,900,False,,,,,,,0.009812362861870667,No nozzle pressure head
1524,0,950,False,,,,,,,0.0018236883283537304,No nozzle pressure head
1524,0,1000,True,13.627620182405016,0.2047149471564091,80243.40755338073,2.095077741602626,0.9500000000000816,True,1.9114517044282016e-13,
1524,0,1050,True,18.02900443857729,0.24484915874063068,88442.18154123108,2.4018174223390027,0.95,True,3.5217470692752226e-16,
1524,0,1100,True,21.928201983286797,0.28086133684040976,94357.99240225773,2.6621552208322976,0.95,True,1.5260903966859297e-15,
1524,0.25,850,False,,,,,,,0.0034112150700165837,No residual closure found within numerical bounds
1524,0.25,900,True,6.461271196772285,0.1547346708729114,67649.86829016652,1.7089509221780566,0.95,True,4.69566275903363e-16,
1524,0.25,950,True,10.316180977144386,0.19588304875718562,78518.55095320517,2.0157001970126447,0.9500000000000006,True,2.3115741890580037e-15,
1524,0.25,1000,True,13.788571570659142,0.23139745117322116,85915.50620396915,2.274650681947171,0.9500000000000338,True,1.149182596845979e-13,
1524,0.25,1050,True,17.13289242867374,0.2652078680610943,91693.79845537977,2.5102212165727784,0.9500000000000072,True,2.4326566465800897e-14,
1524,0.25,1100,True,20.393371516906367,0.2982636487532159,96426.84878916088,2.7278336217055115,0.9500000000000005,True,2.347831379516815e-15,
1524,0.5,850,True,8.215455864564595,0.18836984768707143,77810.36067742026,1.9362199585256668,0.9425619931663053,True,9.39132551806726e-16,
1524,0.5,900,True,10.716266273570705,0.2166387886792315,83276.34937964786,2.1115853811967527,0.9433144026606135,True,1.7608735346376112e-15,
1524,0.5,950,True,13.393979775438915,0.24603770198407987,88144.1133549429,2.2874557547655794,0.9444546498879082,True,1.1833058348749306e-13,
1524,0.5,1000,True,16.18591067470182,0.2762592457928736,92431.80650611287,2.459379023701852,0.945822371986157,True,6.573927862647082e-15,
1524,0.5,1050,True,19.04095512521113,0.30706750947635714,96192.52811727888,2.624565512144129,0.9473039965801314,True,1.5410494593720024e-15,
1524,0.5,1100,True,21.919423046007886,0.3382793993522795,99491.16102650954,2.781522342494648,0.9488277005031189,True,3.5217470692752224e-15,
3048,0,850,False,,,,,,,0.010783666714522208,No residual closure found within numerical bounds
3048,0,900,False,,,,,,,0.004147169847040126,No residual closure found within numerical bounds
3048,0,950,True,9.917151291620778,0.15416571820726796,75285.25225797246,1.978478834806577,0.9500000000003346,True,1.0135702444212428e-12,
3048,0,1000,True,13.956105411764023,0.19031373495738987,84938.03863446771,2.323374790201873,0.9500000000000014,True,6.573927862647082e-15,
3048,0,1050,True,17.371088227036292,0.22117097317041579,91398.5573044788,2.602335307265727,0.9500000000000003,True,2.5317241118254325e-15,
3048,0,1100,True,20.533396171288487,0.2503144251623389,96406.09096328358,2.8493852026723046,0.9500000000000762,True,2.3864251627989296e-13,
3048,0.25,850,True,3.6483518082032016,0.10646840483320053,58857.96211316849,1.5359173004031512,0.9500000000000005,True,2.229017968020218e-15,
3048,0.25,900,True,7.482473643622938,0.1483414420541792,73991.78266965009,1.917660572207082,0.9500000000000003,True,9.39132551806726e-16,
3048,0.25,950,True,10.516945762180205,0.17911446753254842,82324.29156965818,2.196993025508893,0.9500000000000234,True,6.929218819104825e-14,
3048,0.25,1000,True,13.40458380340615,0.20784291679092143,88602.47743974133,2.4471682433719733,0.9500000000000002,True,1.5410494593720024e-15,
3048,0.25,1050,True,16.211830796281898,0.23576159826170964,93655.48075464772,2.6769936987092926,0.9500000000000388,True,1.3726347684549192e-13,
3048,0.25,1100,True,18.950687425420146,0.2632707438465816,97852.15391061704,2.88949814690148,0.95,True,4.4029984553485785e-16,
3048,0.5,850,True,8.043910568895164,0.16698513596778522,79797.57079659346,2.044160579683345,0.9429404203174271,True,1.7608735346376112e-15,
3048,0.5,900,True,10.28681748540045,0.1913935132652709,84971.09161265125,2.2267254485433643,0.9439935058188874,True,1.5143512397883456e-14,
3048,0.5,950,True,12.648970361392063,0.2166020957846317,89521.07536442227,2.406491487925017,0.9453452624706103,True,4.460879621081948e-15,
3048,0.5,1000,True,15.079844131214461,0.2423786269420108,93496.27812028532,2.5797888375999487,0.946852078534345,True,3.9626986098137205e-15,
3048,0.5,1050,True,17.54003899073791,0.268545336747623,96965.46934640626,2.7445813609701393,0.9484217181656319,True,1.9956566725892927e-15,
3048,0.5,1100,True,19.999999930024742,0.29496426415580856,99999.99997403428,2.8999999992152867,0.9499999986334022,True,1.366597723873042e-09,
