area_scale,TIT_limit_thrust_lbf,target_converged,target_rpm,target_TIT_K,target_fuel_kg_min,target_within_study_limits
0.9,15.945559123970131,True,95669.39931037402,1207.0943480875026,0.3020020309928804,False
0.905,16.147966280786154,True,95875.58797755769,1200.5241133185377,0.3015408184427723,False
0.91,16.350532477925892,True,96083.01104611589,1194.1017785313688,0.3010922688888383,False
0.915,16.55323605072388,True,96291.64217633585,1187.82356256041,0.30065617119948396,False
0.92,16.756055513771404,True,96501.4555408285,1181.68580462669,0.3002323190282412,False
0.925,16.958969554583497,True,96712.42581326449,1175.6849598046897,0.2998205106752704,False
0.93,17.161957027628127,True,96924.52815741539,1169.817594683425,0.29942054895337933,False
0.935,17.364996947635042,True,97137.73821647899,1164.080383213147,0.2990322410585602,False
0.9400000000000001,17.56806848526776,True,97352.03210267721,1158.470102729263,0.29865539844497035,False
0.9450000000000001,17.771150960314426,True,97567.38638711812,1152.9836301450482,0.29828983670419207,False
0.9500000000000001,17.974223836812218,True,97783.77808991345,1147.6179383051551,0.29793537544861454,False
0.9550000000000001,18.177266717825884,True,98001.18467054446,1142.3700924923455,0.2975918381987854,False
0.9600000000000001,18.38025934042015,True,98219.58401846781,1137.2372470801943,0.29725905227457516,False
0.9650000000000001,18.58318157081562,True,98438.95444396744,1132.2166423232493,0.29693684868961373,False
0.9700000000000001,18.786013399711244,True,98659.27466916032,1127.3056012898046,0.29662506205158823,False
0.9750000000000001,18.98873493797089,True,98880.52381939667,1122.501526896992,0.29632353046026993,False
0.9800000000000001,19.191326411272872,True,99102.68141465385,1117.8018990973492,0.29603209541602843,False
0.9850000000000001,19.39376815786121,True,99325.72736128616,1113.2042721590842,0.29575060172646644,False
0.9900000000000001,19.596040622592756,True,99549.64194392937,1108.706272063449,0.29547889741777894,False
0.9950000000000001,19.79812435446001,True,99774.40581760732,1104.3055940060233,0.2952168336488068,False
1.0,19.999999930024742,True,100000.00005197531,1100.0000012975859,0.2949642649047306,True
1.0050000000000001,20.193129781762924,True,100238.32846535432,1096.1017441174176,0.2947825528789784,False
1.01,20.385399253797825,True,100475.65977216575,1092.2961336357791,0.2946121438604486,False
1.0150000000000001,20.576571763994398,True,100711.37740630312,1088.585123968598,0.2944541345828462,False
1.02,20.76666683431335,True,100945.50762458745,1084.9655706321198,0.2943081616023143,False
1.0250000000000001,20.955702961988333,True,101178.07600330777,1081.434465745612,0.29417387567489695,False
1.03,21.143697691959634,True,101409.10746270593,1077.9889306943724,0.2940509410580926,False
1.0350000000000001,21.330667683055115,True,101638.62629032982,1074.626209261124,0.2939390348538061,False
1.04,21.516628769287745,True,101866.65616331871,1071.3436611912352,0.2938378463898321,False
1.0450000000000002,21.701596013929173,True,102093.2201696788,1068.1387561600868,0.29374707663723,False
1.05,21.885583762341234,True,102318.34082860242,1065.0090681136212,0.29366643766117295,False
1.0550000000000002,22.068605688067084,True,102542.04010989216,1061.9522699552538,0.2935956521030041,False
1.06,22.250674836319586,True,102764.33945252612,1058.9661285545653,0.29353445269139666,False
1.0650000000000002,22.43180366391537,True,102985.25978241004,1056.0485000557549,0.2934825817808162,False
1.07,22.612004076152083,True,103204.82152982839,1053.1973254606191,0.29343979091511185,False
1.0750000000000002,22.791287460905004,True,103423.04464442538,1050.4106264854872,0.2934058404160131,False
1.08,22.969664720189755,True,103639.94861234637,1047.686501636571,0.2933804989921796,False
1.0850000000000002,23.14714629941307,True,103855.55247032114,1045.0231225305722,0.2933635433705892,False
1.09,23.323742214510546,True,104069.87482017378,1042.4187304172692,0.2933547579468874,False
1.0950000000000002,23.49946207715017,True,104282.93384256275,1039.8716329002095,0.293353934454216,False
1.1,23.67431511816441,True,104494.74731016313,1037.3802008411117,0.2933608716492738,False
